"notation","title","description","id"
"F ","Fachwissen","""""Physikalische Phänomene, Begriffe, Prinzipien, Fakten, Gesetzmäßigkeiten kennen und Basiskonzepten zuordnen.\n\nPhysikalisches Fachwissen, wie es durch die vier Basiskonzepte charakterisiert wird, beinhaltet Wissen über Phänomene, Begriffe, Bilder, Modelle und deren Gültigkeitsbereiche sowie über funktionale Zusammenhänge und Strukturen. Als strukturierter Wissensbestand bildet das Fachwissen die Basis zur Bearbeitung physikalischer Probleme und Aufgaben.\n\nDas Verständnis von Zusammenhängen, Konzepten und Modellen sowie deren Nutzung zur weiteren Erkenntnisgewinnung und zur Diskussion bzw. zur Lösung offener, kontextbezogener Aufgabenstellungen ist Teil einer anspruchsvollen Problembearbeitung. Im Folgenden werden die vier Basiskonzepte näher ausgeführt und Beispiele für mögliche Konkretisierungen angegeben.""""",
"F 1","Materie","",
"F 1.1","Körper können verschiedene Aggregatzustände annehmen. Diese können sich durch äußere Einwirkungen ändern.","Beispiele: Form und Volumen von Körpern",
"F 1.2","Körper bestehen aus Teilchen.","Beispiele: Teilchenmodell,Brownsche Bewegung",
"F 1.3","Materie ist strukturiert.","Beispiele: Atome, Moleküle, Kristalle",
"F 2","Wechselwirkung",,
"F 2.1","Wenn Körper aufeinander einwirken, kann eine Verformung oder eine Änderung der Bewegungszustände der Körper auftreten.","Beispiele: Kraftwirkungen, Trägheitsgesetz, Wechselwirkungsgesetz, Impuls",
"F 2.2","Körper können durch Felder aufeinander einwirken.","Beispiele: Kräfte zwischen Ladungen, Schwerkraft, Kräfte zwischen Magneten",
"F 2.3","Strahlung kann mit Materie wechselwirken, dabei können sich Strahlung und Materie verändern.","Beispiele: Reflexion, Brechung, Totalreflexion, Farben, Treibhauseffekt, globale Erwärmung, ionisierende Strahlung",
"F 3","System",,
"F 3.1","Stabile Zustände sind Systeme im Gleichgewicht.","Kräftegleichgewicht, Druckgleichgewicht, thermisches Gleichgewicht",
"F 3.2","Gestörte Gleichgewichte können Ströme und Schwingungen hervorrufen.","Druck-, Temperatur- bzw. Potenzialunterschiede und die verursachten Strömungen",
"F 3.3","Ströme benötigen einen Antrieb(Ursache) und können durch Widerstände in ihrer Stärke beeinflusst werden",,
"F 4","Energie",,
"F 4.1","Nutzbare Energie kann aus erschöpfbaren und regenerativen Quellen gewonnen werden.","Beispiele: fossile Brennstoffe, Wind- und Sonnenenergie, Kernenergie",
"F 4.2","Für den Transport und bei der Nutzung von Energie kann ein Wechsel der Energieform bzw. des Energieträgers stattfinden. Dabei kann nur ein Teil der eingesetzten Energie genutzt werden","Beispiele: Generator, Motor, Transformator, Wirkungsgrad, Entropie, Abwärme, Energieentwertung",
"E 4.3","Die Gesamtheit der Energien bleibt konstant.","Beispiele: Pumpspeicherwerk, Akkumulator, Wärmepumpe (Kühlschrank)",
"E 4.4","Bei Körpern unterschiedlicher Temperatur findet ein Energiefluss von alleine nur von höherer zu niedrigerer Temperatur statt.","Beispiele: Wärmeleitung, Strahlung",
"E ","Erkenntnisgewinnung","""""Experimentelle und andere Untersuchungsmethoden sowie Modelle nutzen. \n\nPhysikalische Erkenntnisgewinnung ist ein Prozess, der durch folgende Tätigkeiten beschrieben werden kann:""""",
"E 1","Wahrnehmen","Beobachten und Beschreiben eines Phänomens, Erkennen einer Problemstellung, Vergegenwärtigen der Wissensbasis",
"E 2","Ordnen","Zurückführen auf und Einordnen in Bekanntes, Systematisieren",
"E 3","Erklären","Modellieren von Realität, Aufstellen von Hypothesen",
"E 4","Prüfen","Experimentieren, Auswerten, Beurteilen, kritisches Reflektieren von Hypothesen",
"E 5","Modelle bilden","Idealisieren, Beschreiben von Zusammenhängen, Verallgemeinern, Abstrahieren, Begriffe bilden, Formalisieren, Aufstellen einfacher Theorien, Transferieren",
"K ","Kommunikation","""""Informationen sach- und fachbezogen erschließen und austauschen.\n\nDie Fähigkeit zu adressatengerechter und sachbezogener Kommunikation ist ein wesentlicher Bestandteil physikalischer Grundbildung. \n\nDazu ist es notwendig, über Kenntnisse und Techniken zu verfügen, die es ermöglichen, sich die benötigte Wissensbasis eigenständig zu erschließen. Dazu gehören das angemessene Verstehen von Fachtexten, Graphiken und Tabellen sowie der Umgang mit Informationsmedien und das Dokumentieren des in Experimenten oder Recherchen gewonnenen Wissens. \n\nZur Kommunikation sind eine angemessene Sprech- und Schreibfähigkeit in der Alltags- und der Fachsprache, das Beherrschen der Regeln der Diskussion und moderne Methoden und Techniken der Präsentation erforderlich. Kommunikation setzt die Bereitschaft und die Fähigkeit voraus, eigenes Wissen, eigene Ideen und Vorstellungen in die Diskussion einzubringen und zu entwickeln, den Kommunikationspartnern mit Vertrauen zu begegnen und ihre Persönlichkeit zu respektieren sowie einen Einblick in den eigenen Kenntnisstand zu gewähren.""""",
"B ","Bewertung","""""Physikalische Sachverhalte in verschiedenen Kontexten erkennen und bewerten.\n\nDas Heranziehen physikalischer Denkmethoden und Erkenntnisse zur Erläuterung, zum Verständnis und zur Bewertung physikalisch-technischer und gesellschaftlicher Entscheidungen ist Teil einer zeitgemäßen Allgemeinbildung. Hierzu ist es wichtig, zwischen physikalischen, gesellschaftlichen und politischen Komponenten einer Bewertung zu unterscheiden. Neben der Fähigkeit zur Differenzierung nach physikalisch belegten, hypothetischen oder nicht naturwissenschaftlichen Aussagen in Texten und Darstellungen ist es auch notwendig, die Grenzen naturwissenschaftlicher Sichtweisen zu kennen.""""",
